2025-11-17T15:17:40.052760 - Last deployed machine: omani002 (bqk3ge)
2025-11-17T15:18:06.298334 - Hostname             | System ID  | Status     | OS        
2025-11-17T19:02:35.100834 - braggi15             | gyahnb     | Allocated  |           
2025-11-17T19:02:35.101081 - braggi16             | bgxfb7     | Deployed   | 9-stream  
2025-11-17T19:02:35.101295 - braggi17             | h74db3     | Deployed   | jammy     
2025-11-17T19:02:35.101506 - braggi18             | awbqm3     | Deployed   | noble     
2025-11-17T19:02:35.101713 - braggi22             | 4pp7aa     | Allocated  |           
2025-11-17T19:02:35.101916 - sulcata02            | pfh3pf     | Failed commissioning |           
2025-11-17T19:02:35.102115 - braggi20             | 4r44k6     | Deployed   | jammy     
2025-11-17T19:02:35.102317 - braggi19             | k7nfqc     | Deployed   | 9-stream  
2025-11-17T19:02:35.102524 - gibba004             | 7qcacw     | Deployed   | noble     
2025-11-17T19:02:35.102730 - gibba005             | ehfgy8     | Deployed   | noble     
2025-11-17T19:02:35.102925 - gibba006             | gqpysn     | Deployed   | noble     
2025-11-17T19:02:35.103119 - gibba008             | xynwxt     | Allocated  |           
2025-11-17T19:02:35.103314 - gibba009             | 8hfsy8     | Allocated  |           
2025-11-17T19:02:35.103509 - gibba010             | p8fsyp     | Allocated  |           
2025-11-17T19:02:35.103703 - gibba003             | aqk6pm     | Deployed   | noble     
2025-11-17T19:02:35.103896 - refarch-r220-01      | ekx4yy     | Deployed   | noble     
2025-11-17T19:02:35.104089 - refarch-r220-02      | g43rt7     | Deployed   | 9-stream  
2025-11-17T19:02:35.104281 - refarch-r220-04      | k3rg6d     | Deployed   | 9-stream  
2025-11-17T19:02:35.104474 - refarch-r220-05      | d4hweb     | Ready      |           
2025-11-17T19:02:35.104667 - refarch-r220-06      | pm3e7q     | Deployed   | noble     
2025-11-17T19:03:00.924348 - 
Machine Details
------------------------------------------------------------
2025-11-17T19:03:00.928664 - Name:             irvingi08
System ID:        kbykkp
Status:           Deployed
OS Distro:        jammy
OS Type:          ubuntu
Owner:            User
Power Type:       ipmi
Power Status:     PowerState.ON
Last Deployed At: -
2025-11-17T19:08:03.791188 - 
Machine Details
------------------------------------------------------------
2025-11-17T19:08:03.793703 - Name: irvingi08
System ID: kbykkp
Status: Deployed
OS Distro: jammy
OS Type: ubuntu
Owner: User
Power Type: ipmi
Power Status: PowerState.ON
2025-11-17T19:08:39.118994 - 
Machine Details
------------------------------------------------------------
2025-11-17T19:08:39.119723 - Name: irvingi04
System ID: n67y3g
Status: Ready
OS Distro: 
OS Type: 
Owner: None
Power Type: ipmi
Power Status: PowerState.OFF
2025-11-17T19:08:39.121606 - [ERROR] irvingi04 appears powered off. Fix power before redeploying.
2025-11-17T19:10:41.281519 - 
Machine Details
------------------------------------------------------------
2025-11-17T19:10:41.286951 - Name: irvingi08
System ID: kbykkp
Status: Deployed
OS Distro: jammy
OS Type: ubuntu
Owner: User
Power Type: ipmi
Power Status: PowerState.ON
2025-11-17T19:10:41.290790 - [ACTION] Releasing irvingi08...
2025-11-17T19:11:11.598986 - [ERROR] irvingi08 appears powered off. Check IPMI/power before deploying.
2025-11-17T19:47:41.256908 - Last deployed machine: omani002 (bqk3ge)
2025-11-17T19:52:47.996740 - 
Machine Details
------------------------------------------------------------
2025-11-17T19:52:47.998523 - Name: irvingi08
System ID: kbykkp
Status: Ready
OS Distro: 
OS Type: 
Owner: None
Power Type: ipmi
Power Status: PowerState.OFF
2025-11-17T20:40:13.219176 - 
Machine Details
------------------------------------------------------------
2025-11-17T20:40:13.221292 - Name: irvingi04
System ID: n67y3g
Status: Ready
OS Distro: 
OS Type: 
Owner: None
Power Type: ipmi
Power Status: PowerState.OFF
2025-11-17T20:41:33.198744 - 
Machine Details
------------------------------------------------------------
2025-11-17T20:41:33.202358 - Name: irvingi04
System ID: n67y3g
Status: Ready
OS Distro: 
OS Type: 
Owner: None
Power Type: ipmi
Power Status: PowerState.OFF
2025-11-17T20:42:19.468134 - 
Machine Details
------------------------------------------------------------
2025-11-17T20:42:19.472370 - Name: irvingi04
System ID: n67y3g
Status: Ready
OS Distro: 
OS Type: 
Owner: None
Power Type: ipmi
Power Status: PowerState.OFF
2025-11-17T20:42:19.481711 - [ERROR] irvingi04 appears powered off. Fix power before redeploying.
2025-11-17T20:50:26.095636 - 
Machine Details
------------------------------------------------------------
2025-11-17T20:50:26.096494 - Name: irvingi04
System ID: n67y3g
Status: Ready
OS Distro: 
OS Type: 
Owner: None
Power Type: ipmi
Power Status: PowerState.OFF
2025-11-17T20:50:51.585983 - 
Machine Details
------------------------------------------------------------
2025-11-17T20:50:51.587016 - Name: irvingi04
System ID: n67y3g
Status: Ready
OS Distro: 
OS Type: 
Owner: None
Power Type: ipmi
Power Status: PowerState.OFF
2025-11-17T20:50:51.589455 - [ERROR] irvingi04 appears powered off. Fix power before redeploying.
2025-11-17T21:00:54.867803 - 
Machine Details
------------------------------------------------------------
2025-11-17T21:00:54.872684 - Name:             irvingi04
System ID:        n67y3g
Status:           Ready
OS Distro:        
OS Type:          
Owner:            None
Power Type:       ipmi
Power Status:     PowerState.OFF
Last Deployed At: -
2025-11-17T21:05:08.882163 - 
Machine Details
------------------------------------------------------------
2025-11-17T21:05:08.882703 - Name:             irvingi04
System ID:        n67y3g
Status:           Ready
OS Distro:        
OS Type:          
Owner:            None
Power Type:       ipmi
Power Status:     PowerState.OFF
2025-11-17T21:05:53.575691 - ID    | OS Type         | Release         | Architecture
2025-11-17T21:05:53.575965 - ------------------------------------------------------------
2025-11-17T21:05:53.576168 - 35    | centos          | 8               | amd64/generic
2025-11-17T21:05:53.576379 - 34    | centos          | centos70        | amd64/generic
2025-11-17T21:05:53.576533 - 1     | grub-efi-signed | uefi            | amd64/generic
2025-11-17T21:05:53.576674 - 2     | grub-efi        | uefi            | arm64/generic
2025-11-17T21:05:53.576814 - 3     | grub-ieee1275   | open-firmware   | ppc64el/generic
2025-11-17T21:05:53.576947 - 4     | pxelinux        | pxe             | i386/generic
2025-11-17T21:05:53.577077 - 19    | ubuntu          | jammy           | amd64/ga-22.04
2025-11-17T21:05:53.577210 - 20    | ubuntu          | jammy           | amd64/ga-22.04-lowlatency
2025-11-17T21:05:53.577338 - 21    | ubuntu          | jammy           | amd64/hwe-22.04
2025-11-17T21:05:53.577470 - 22    | ubuntu          | jammy           | amd64/hwe-22.04-edge
2025-11-17T21:05:53.577602 - 23    | ubuntu          | jammy           | amd64/hwe-22.04-lowlatency
2025-11-17T21:05:53.577730 - 24    | ubuntu          | jammy           | amd64/hwe-22.04-lowlatency-edge
2025-11-17T21:05:53.577853 - 25    | ubuntu          | jammy           | arm64/ga-22.04
2025-11-17T21:05:53.577979 - 26    | ubuntu          | jammy           | arm64/hwe-22.04
2025-11-17T21:05:53.578105 - 27    | ubuntu          | jammy           | arm64/hwe-22.04-edge
2025-11-17T21:05:53.578233 - 28    | ubuntu          | jammy           | arm64/hwe-22.04-lowlatency
2025-11-17T21:05:53.578358 - 29    | ubuntu          | jammy           | arm64/hwe-22.04-lowlatency-edge
2025-11-17T21:05:53.578488 - 30    | ubuntu          | jammy           | arm64/xgene-uboot
2025-11-17T21:05:53.578621 - 31    | ubuntu          | jammy           | arm64/xgene-uboot-mustang
2025-11-17T21:05:53.578747 - 11    | ubuntu          | mantic          | amd64/ga-23.10
2025-11-17T21:05:53.578873 - 12    | ubuntu          | mantic          | amd64/ga-23.10-lowlatency
2025-11-17T21:05:53.579006 - 13    | ubuntu          | mantic          | arm64/ga-23.10
2025-11-17T21:05:53.579144 - 5     | ubuntu          | noble           | amd64/ga-24.04
2025-11-17T21:05:53.579282 - 6     | ubuntu          | noble           | amd64/ga-24.04-lowlatency
2025-11-17T21:05:53.579420 - 7     | ubuntu          | noble           | amd64/hwe-24.04
2025-11-17T21:05:53.579550 - 8     | ubuntu          | noble           | amd64/hwe-24.04-edge
2025-11-17T21:05:53.579683 - 9     | ubuntu          | noble           | amd64/hwe-24.04-lowlatency
2025-11-17T21:05:53.579812 - 10    | ubuntu          | noble           | amd64/hwe-24.04-lowlatency-edge
2025-11-17T21:05:53.579940 - 14    | ubuntu          | noble           | arm64/ga-24.04
2025-11-17T21:05:53.580069 - 15    | ubuntu          | noble           | arm64/hwe-24.04
2025-11-17T21:05:53.580196 - 16    | ubuntu          | noble           | arm64/hwe-24.04-edge
2025-11-17T21:05:53.580325 - 17    | ubuntu          | noble           | arm64/hwe-24.04-lowlatency
2025-11-17T21:05:53.580463 - 18    | ubuntu          | noble           | arm64/hwe-24.04-lowlatency-edge
2025-11-17T21:05:53.580593 - 32    | centos          | 9-stream        | amd64/generic
2025-11-17T21:05:53.580722 - 33    | centos          | 9-stream        | arm64/generic
2025-11-17T21:05:53.580851 - 40    | rhel            | rhel10          | amd64/generic
2025-11-17T21:05:53.581001 - 39    | -               | -               | amd64/generic
2025-11-17T21:05:53.581192 - 37    | -               | -               | arm64/generic
2025-11-17T21:07:13.813849 - 
Machine Details
------------------------------------------------------------
2025-11-17T21:07:13.816205 - Name:             irvingi04
System ID:        n67y3g
Status:           Ready
OS Distro:        
OS Type:          
Owner:            None
Power Type:       ipmi
Power Status:     PowerState.OFF
2025-11-17T21:07:25.068320 - [ACTION] Deploying irvingi04 using OS 'focal'...
2025-11-17T21:07:25.068694 - [ERROR] Failed to trigger deployment for irvingi04: Machine.deploy() got an unexpected keyword argument 'osystem'
2025-11-17T21:08:58.693486 - 
Machine Details
------------------------------------------------------------
2025-11-17T21:08:58.694944 - Name:             irvingi04
System ID:        n67y3g
Status:           Ready
OS Distro:        
OS Type:          
Owner:            None
Power Type:       ipmi
Power Status:     PowerState.OFF
2025-11-17T21:09:06.128340 - [ACTION] Deploying irvingi04 using OS 'jammy'...
2025-11-17T21:09:06.128733 - [ERROR] Failed to trigger deployment for irvingi04: Machine.deploy() got an unexpected keyword argument 'osystem'
2025-11-17T21:13:57.401173 - 
Machine Details
------------------------------------------------------------
2025-11-17T21:13:57.402518 - Name:             irvingi04
System ID:        n67y3g
Status:           Ready
OS Distro:        
OS Type:          
Owner:            None
Power Type:       ipmi
Power Status:     PowerState.OFF
Last Deployed At: -
2025-11-17T21:14:04.754705 - [ACTION] Deploying irvingi04 using OS 'focal'...
2025-11-17T21:14:06.487998 - [ERROR] Failed to trigger deployment for irvingi04: POST http://refarch-r730xd-01.front.sepia.ceph.com:5240/MAAS/api/2.0/machines/n67y3g/?op=deploy -> HTTP 400 Bad Request ({"distro_series": ["'focal' is not a valid distro…)
2025-11-17T21:25:07.363756 - Hostname             | System ID  | Status     | OS        
2025-11-17T21:25:07.363916 - -----------------------------------------------------------------
2025-11-17T21:25:07.364424 - confusa01            | erwppa     | Allocated  |           
2025-11-17T21:25:07.364596 - incerta08            | e3hbwr     | New        |           
2025-11-17T21:25:07.364770 - omani002             | bqk3ge     | Deployed   |           
2025-11-17T21:25:07.364932 - smithi004            | 6kqcxb     | Deployed   | jammy     
2025-11-17T21:25:07.365095 - smithi015            | h8eaq4     | Ready      |           
2025-11-17T21:25:07.365257 - smithi034            | rnhtk4     | Allocated  |           
2025-11-17T21:25:07.365419 - smithi108            | x7et47     | Deployed   | 9-stream  
2025-11-17T21:25:07.365581 - smithi147            | p4f766     | Deployed   | 9-stream  
2025-11-17T21:25:07.365745 - incerta02            | 664qmy     | New        |           
2025-11-17T21:25:07.365910 - incerta03            | kqaxm3     | New        |           
2025-11-17T21:25:07.366065 - incerta04            | cm8a46     | New        |           
2025-11-17T21:25:07.366222 - adami01              | f3tqfp     | Deployed   | jammy     
2025-11-17T21:25:07.366379 - adami02              | 8k73pr     | Allocated  |           
2025-11-17T21:25:07.366538 - adami03              | rayt3b     | Allocated  |           
2025-11-17T21:25:07.366697 - adami04              | k48a4y     | Allocated  |           
2025-11-17T21:25:07.366858 - adami05              | 6tttwd     | Deployed   | jammy     
2025-11-17T21:25:07.367024 - adami06              | hsab36     | Allocated  |           
2025-11-17T21:25:07.367184 - adami07              | gnmttw     | Deployed   | jammy     
2025-11-17T21:25:07.367347 - adami08              | eant8f     | Deployed   | 9-stream  
2025-11-17T21:25:07.367508 - adami09              | a4dae7     | Deploying  | jammy     
2025-11-17T21:25:07.367674 - adami10              | m8hpw6     | Deployed   | 9-stream  
2025-11-17T21:25:07.367830 - confusa02            | ksdh6a     | Allocated  |           
2025-11-17T21:25:07.367986 - confusa03            | e7dwrh     | Allocated  |           
2025-11-17T21:25:07.368140 - confusa04            | 7ehyxt     | Allocated  |           
2025-11-17T21:25:07.368294 - confusa05            | pdawwb     | Allocated  |           
2025-11-17T21:25:07.368447 - confusa06            | enhefn     | Allocated  |           
2025-11-17T21:25:07.368602 - confusa07            | x8ktgh     | Allocated  |           
2025-11-17T21:25:07.368761 - confusa08            | g8pw3x     | Allocated  |           
2025-11-17T21:25:07.368983 - confusa10            | kkgf43     | Deployed   | 9-stream  
2025-11-17T21:25:07.369173 - confusa11            | b4tcdt     | Deployed   | noble     
2025-11-17T21:25:07.369353 - confusa12            | twyrs3     | Allocated  |           
2025-11-17T21:25:07.369612 - confusa13            | 78tdd3     | Failed commissioning |           
2025-11-17T21:25:07.369933 - confusa14            | w8ddrg     | Allocated  |           
2025-11-17T21:25:07.370112 - omani001             | wd7f36     | Allocated  |           
2025-11-17T21:25:07.370289 - omani003             | a47776     | Deployed   | noble     
2025-11-17T21:25:07.370453 - omani004             | qxafrm     | Deployed   | noble     
2025-11-17T21:25:07.370623 - omani005             | ayyn8e     | Allocated  |           
2025-11-17T21:25:07.370788 - omani006             | cte77n     | Broken     |           
2025-11-17T21:25:07.370956 - omani007             | rbx68a     | Allocated  |           
2025-11-17T21:25:07.371255 - omani008             | qsqedf     | Allocated  |           
2025-11-17T21:25:07.371507 - omani009             | np8y6f     | Failed commissioning |           
2025-11-17T21:25:07.371721 - omani010             | f3phwb     | Allocated  |           
2025-11-17T21:25:07.372066 - irvingi01            | kqrcx4     | Ready      |           
2025-11-17T21:25:07.372340 - irvingi02            | gghwhd     | Deployed   | jammy     
2025-11-17T21:25:07.372614 - irvingi03            | hw3h8x     | Deployed   | jammy     
2025-11-17T21:25:07.372877 - irvingi04            | n67y3g     | Ready      |           
2025-11-17T21:25:07.373139 - irvingi05            | wsskrw     | Deployed   | jammy     
2025-11-17T21:25:07.373393 - irvingi06            | cwfbm7     | Deployed   | jammy     
2025-11-17T21:25:07.373645 - irvingi07            | nabcab     | Deployed   | jammy     
2025-11-17T21:25:07.373895 - irvingi08            | kbykkp     | Ready      |           
2025-11-17T21:25:07.374148 - braggi01             | xxcwcs     | Deployed   | jammy     
2025-11-17T21:25:07.374402 - braggi02             | 7y8rp8     | Deployed   | jammy     
2025-11-17T21:25:07.374661 - braggi03             | xndrfr     | Deployed   | jammy     
2025-11-17T21:25:07.374913 - braggi04             | 43ptc8     | Deployed   | 9-stream  
2025-11-17T21:25:07.375173 - braggi05             | wcrhdk     | Allocated  |           
2025-11-17T21:25:07.375421 - braggi06             | qrebpa     | Deployed   | 9-stream  
2025-11-17T21:25:07.375660 - braggi07             | cec3xk     | Deployed   | 9-stream  
2025-11-17T21:25:07.375887 - braggi08             | 6m3f8y     | Allocated  |           
2025-11-17T21:25:07.376115 - braggi09             | cxpyab     | Allocated  |           
2025-11-17T21:25:07.376340 - braggi10             | n8etyc     | Allocated  |           
2025-11-17T21:25:07.376570 - braggi11             | x8c7d6     | Deployed   | jammy     
2025-11-17T21:25:07.376795 - braggi12             | hbrbsb     | Allocated  |           
2025-11-17T21:25:07.377022 - braggi13             | 6rqakh     | Allocated  |           
2025-11-17T21:25:07.377250 - braggi14             | xtysxg     | Deployed   | 9-stream  
2025-11-17T21:25:07.377473 - braggi15             | gyahnb     | Allocated  |           
2025-11-17T21:25:07.377695 - braggi16             | bgxfb7     | Deployed   | 9-stream  
2025-11-17T21:25:07.377924 - braggi17             | h74db3     | Deployed   | jammy     
2025-11-17T21:25:07.378147 - braggi18             | awbqm3     | Deployed   | noble     
2025-11-17T21:25:07.378337 - braggi22             | 4pp7aa     | Allocated  |           
2025-11-17T21:25:07.378496 - sulcata02            | pfh3pf     | Failed commissioning |           
2025-11-17T21:25:07.378654 - braggi20             | 4r44k6     | Deployed   | jammy     
2025-11-17T21:25:07.378813 - braggi19             | k7nfqc     | Deployed   | 9-stream  
2025-11-17T21:25:07.379055 - gibba004             | 7qcacw     | Deployed   | noble     
2025-11-17T21:25:07.379263 - gibba005             | ehfgy8     | Deployed   | noble     
2025-11-17T21:25:07.379428 - gibba006             | gqpysn     | Deployed   | noble     
2025-11-17T21:25:07.379592 - gibba008             | xynwxt     | Allocated  |           
2025-11-17T21:25:07.379754 - gibba009             | 8hfsy8     | Allocated  |           
2025-11-17T21:25:07.379969 - gibba010             | p8fsyp     | Allocated  |           
2025-11-17T21:25:07.380126 - gibba003             | aqk6pm     | Deployed   | noble     
2025-11-17T21:25:07.380281 - refarch-r220-01      | ekx4yy     | Deployed   | noble     
2025-11-17T21:25:07.380436 - refarch-r220-02      | g43rt7     | Deployed   | 9-stream  
2025-11-17T21:25:07.380593 - refarch-r220-04      | k3rg6d     | Deployed   | 9-stream  
2025-11-17T21:25:07.380744 - refarch-r220-05      | d4hweb     | Ready      |           
2025-11-17T21:25:07.380895 - refarch-r220-06      | pm3e7q     | Deployed   | noble     
2025-11-17T21:25:34.807935 - ID    | OS Type         | Release         | Architecture
2025-11-17T21:25:34.808423 - ------------------------------------------------------------
2025-11-17T21:25:34.809073 - 35    | centos          | 8               | amd64/generic
2025-11-17T21:25:34.809277 - 34    | centos          | centos70        | amd64/generic
2025-11-17T21:25:34.809466 - 1     | grub-efi-signed | uefi            | amd64/generic
2025-11-17T21:25:34.809650 - 2     | grub-efi        | uefi            | arm64/generic
2025-11-17T21:25:34.809831 - 3     | grub-ieee1275   | open-firmware   | ppc64el/generic
2025-11-17T21:25:34.810009 - 4     | pxelinux        | pxe             | i386/generic
2025-11-17T21:25:34.810187 - 19    | ubuntu          | jammy           | amd64/ga-22.04
2025-11-17T21:25:34.810363 - 20    | ubuntu          | jammy           | amd64/ga-22.04-lowlatency
2025-11-17T21:25:34.810540 - 21    | ubuntu          | jammy           | amd64/hwe-22.04
2025-11-17T21:25:34.810715 - 22    | ubuntu          | jammy           | amd64/hwe-22.04-edge
2025-11-17T21:25:34.810891 - 23    | ubuntu          | jammy           | amd64/hwe-22.04-lowlatency
2025-11-17T21:25:34.811067 - 24    | ubuntu          | jammy           | amd64/hwe-22.04-lowlatency-edge
2025-11-17T21:25:34.811241 - 25    | ubuntu          | jammy           | arm64/ga-22.04
2025-11-17T21:25:34.811415 - 26    | ubuntu          | jammy           | arm64/hwe-22.04
2025-11-17T21:25:34.811588 - 27    | ubuntu          | jammy           | arm64/hwe-22.04-edge
2025-11-17T21:25:34.811762 - 28    | ubuntu          | jammy           | arm64/hwe-22.04-lowlatency
2025-11-17T21:25:34.811936 - 29    | ubuntu          | jammy           | arm64/hwe-22.04-lowlatency-edge
2025-11-17T21:25:34.812105 - 30    | ubuntu          | jammy           | arm64/xgene-uboot
2025-11-17T21:25:34.812280 - 31    | ubuntu          | jammy           | arm64/xgene-uboot-mustang
2025-11-17T21:25:34.812451 - 11    | ubuntu          | mantic          | amd64/ga-23.10
2025-11-17T21:25:34.812623 - 12    | ubuntu          | mantic          | amd64/ga-23.10-lowlatency
2025-11-17T21:25:34.812796 - 13    | ubuntu          | mantic          | arm64/ga-23.10
2025-11-17T21:25:34.812965 - 5     | ubuntu          | noble           | amd64/ga-24.04
2025-11-17T21:25:34.813136 - 6     | ubuntu          | noble           | amd64/ga-24.04-lowlatency
2025-11-17T21:25:34.813307 - 7     | ubuntu          | noble           | amd64/hwe-24.04
2025-11-17T21:25:34.813510 - 8     | ubuntu          | noble           | amd64/hwe-24.04-edge
2025-11-17T21:25:34.813680 - 9     | ubuntu          | noble           | amd64/hwe-24.04-lowlatency
2025-11-17T21:25:34.813850 - 10    | ubuntu          | noble           | amd64/hwe-24.04-lowlatency-edge
2025-11-17T21:25:34.814014 - 14    | ubuntu          | noble           | arm64/ga-24.04
2025-11-17T21:25:34.814187 - 15    | ubuntu          | noble           | arm64/hwe-24.04
2025-11-17T21:25:34.814366 - 16    | ubuntu          | noble           | arm64/hwe-24.04-edge
2025-11-17T21:25:34.814549 - 17    | ubuntu          | noble           | arm64/hwe-24.04-lowlatency
2025-11-17T21:25:34.814718 - 18    | ubuntu          | noble           | arm64/hwe-24.04-lowlatency-edge
2025-11-17T21:25:34.814885 - 32    | centos          | 9-stream        | amd64/generic
2025-11-17T21:25:34.815052 - 33    | centos          | 9-stream        | arm64/generic
2025-11-17T21:25:34.815325 - 40    | rhel            | rhel10          | amd64/generic
2025-11-17T21:25:34.815498 - 39    | -               | -               | amd64/generic
2025-11-17T21:25:34.815671 - 37    | -               | -               | arm64/generic
2025-11-17T21:26:02.865862 - 
Machine Details
------------------------------------------------------------
2025-11-17T21:26:02.866722 - Name:             irvingi04
System ID:        n67y3g
Status:           Ready
OS Distro:        
OS Type:          
Owner:            None
Power Type:       ipmi
Power Status:     PowerState.OFF
Last Deployed At: -
2025-11-17T21:26:44.182501 - 
Machine Details
------------------------------------------------------------
2025-11-17T21:26:44.183607 - Name:             irvingi04
System ID:        n67y3g
Status:           Ready
OS Distro:        
OS Type:          
Owner:            None
Power Type:       ipmi
Power Status:     PowerState.OFF
Last Deployed At: -
2025-11-17T21:26:58.161401 - [ACTION] Deploying irvingi04 using OS 'focal'...
2025-11-17T21:26:59.794098 - [ERROR] Failed to trigger deployment for irvingi04: POST http://refarch-r730xd-01.front.sepia.ceph.com:5240/MAAS/api/2.0/machines/n67y3g/?op=deploy -> HTTP 400 Bad Request ({"distro_series": ["'focal' is not a valid distro…)
2025-11-17T21:28:55.999828 - Machine 'grim027' not found.
2025-11-17T21:29:31.449775 - 
Machine Details
------------------------------------------------------------
2025-11-17T21:29:31.450083 - Name: irvingi04
System ID: n67y3g
Status: Ready
OS Distro: -
OS Type: -
Owner: -
Power Type: ipmi
Power Status: PowerState.OFF
2025-11-17T21:30:01.746168 - 
Machine Details
------------------------------------------------------------
2025-11-17T21:30:01.746706 - Name: irvingi04
System ID: n67y3g
Status: Ready
OS Distro: -
OS Type: -
Owner: -
Power Type: ipmi
Power Status: PowerState.OFF
2025-11-17T21:36:37.116576 - Machine irvingi04 successfully redeployed with jammy
2025-11-17T21:37:26.661158 - 
Machine Details
------------------------------------------------------------
2025-11-17T21:37:26.662744 - Name:             irvingi04
System ID:        n67y3g
Status:           Deployed
OS Distro:        jammy
OS Type:          ubuntu
Owner:            User
Power Type:       ipmi
Power Status:     PowerState.ON
2025-11-17T21:37:26.664868 - [ACTION] Releasing irvingi04...
2025-11-17T21:38:21.798002 - [ACTION] Deploying irvingi04 using OS 'jammy'...
2025-11-17T21:44:55.041127 - [SUCCESS] Deployment completed for irvingi04.
2025-11-17T21:44:55.041644 - [SUCCESS] Redeployment completed for irvingi04.
2025-11-18T11:34:41.539246 - 
Machine Details
------------------------------------------------------------
2025-11-18T11:34:41.543879 - Name:             irvingi04
System ID:        n67y3g
Status:           Deployed
OS Distro:        jammy
OS Type:          ubuntu
Owner:            User
Power Type:       ipmi
Power Status:     PowerState.ON
2025-11-18T11:40:22.041395 - 
Machine Details
------------------------------------------------------------
2025-11-18T11:40:22.043391 - Name:             irvingi04
System ID:        n67y3g
Status:           Deployed
OS Distro:        jammy
OS Type:          ubuntu
Owner:            User
Power Type:       ipmi
Power Status:     PowerState.ON
2025-11-18T11:48:44.977520 - 
Machine Details
------------------------------------------------------------
2025-11-18T11:48:44.979302 - Name:             irvingi04
System ID:        n67y3g
Status:           Deployed
OS Distro:        jammy
OS Type:          ubuntu
Owner:            User
Power Type:       ipmi
Power Status:     PowerState.ON
2025-11-18T11:48:44.980320 - [ACTION] Releasing irvingi04...
2025-11-18T11:49:08.905242 - [ACTION] Deploying irvingi04 using OS 'jammy'...
2025-11-18T11:55:23.921828 - [SUCCESS] Deployment completed for irvingi04.
2025-11-18T11:55:23.923607 - [SUCCESS] Redeployment completed for irvingi04
